gcp_label,image_file_name,x,y,lon,lat,elev,lon_acc,lat_acc,elev_acc
15,ARBCSRD00010030.tif,1945.57,987.11,-111.82784,32.83058,392.45,2,2,1
16,ARBCSRD00010030.tif,6030.24,1453.86,-111.82481,32.80671,396.84,2,2,1
16,ARBCSRD00010031.tif,2360.97,1543.49,-111.82481,32.80671,396.84,2,2,1
17,ARBCSRD00010031.tif,9239.19,3122.58,-111.81454,32.76643,407.04,2,2,1
17,ARBCSRD00010032.tif,5420.72,3014.42,-111.81454,32.76643,407.04,2,2,1
18,ARBCSRD00010032.tif,6284.95,6980.83,-111.78739,32.76116,415.75,2,2,1
18,ARBCSRD00010033.tif,2472.55,7101.61,-111.78739,32.76116,415.75,2,2,1
19,ARBCSRD00010033.tif,7273.56,6387.77,-111.7927,32.73348,425.19,2,2,1
19,ARBCSRD00010034.tif,3460.97,6343.09,-111.7927,32.73348,425.19,2,2,1
20,ARBCSRD00010033.tif,7415.27,1725.28,-111.82487,32.7329,408.04,2,2,1
20,ARBCSRD00010034.tif,3674.22,1657.65,-111.82487,32.7329,408.04,2,2,1
21,ARBCSRD00010045.tif,5130.08,7652.47,-111.8629,32.91801,371.27,2,2,1
21,ARBCSRD00010046.tif,8670.54,7619.41,-111.8629,32.91801,371.27,2,2,1
22,ARBCSRD00010045.tif,3859.94,3205.84,-111.83204,32.91039,376.52,2,2,1
22,ARBCSRD00010046.tif,7539.08,3129.0,-111.83204,32.91039,376.52,2,2,1
23,ARBCSRD00010046.tif,3860.2,3591.39,-111.83616,32.889,380.16,2,2,1
23,ARBCSRD00010047.tif,7581.59,3502.78,-111.83616,32.889,380.16,2,2,1
24,ARBCSRD00010049.tif,4192.16,7230.55,-111.86046,32.82765,394.37,2,2,1
24,ARBCSRD00010050.tif,7897.42,7256.01,-111.86046,32.82765,394.37,2,2,1
25,ARBCSRD00010049.tif,3906.6,2236.34,-111.82605,32.82532,393.85,2,2,1
25,ARBCSRD00010050.tif,7585.64,2246.56,-111.82605,32.82532,393.85,2,2,1
26,ARBCSRD00010050.tif,1381.6,7237.09,-111.86102,32.78961,392.95,2,2,1
26,ARBCSRD00010051.tif,4957.48,7587.27,-111.86102,32.78961,392.95,2,2,1
27,ARBCSRD00010052.tif,3197.13,7945.14,-111.86492,32.75815,397.03,2,2,1
27,ARBCSRD00010053.tif,6893.59,8195.55,-111.86492,32.75815,397.03,2,2,1
28,ARBCSRD00010053.tif,1843.1,7762.08,-111.86321,32.72874,398.34,2,2,1
28,ARBCSRD00010054.tif,5893.37,7761.1,-111.86321,32.72874,398.34,2,2,1
29,ARBCSRD00010066.tif,7426.06,1552.78,-111.91126,32.88574,369.03,2,2,1
29,ARBCSRD00010067.tif,3762.08,1718.19,-111.91126,32.88574,369.03,2,2,1
30,ARBCSRD00010067.tif,5521.42,6279.36,-111.87977,32.87585,375.6,2,2,1
30,ARBCSRD00010068.tif,1776.71,6179.62,-111.87977,32.87585,375.6,2,2,1
31,ARBCSRD00010068.tif,7123.28,5341.56,-111.88564,32.84457,380.04,2,2,1
31,ARBCSRD00010069.tif,3425.06,5372.28,-111.88564,32.84457,380.04,2,2,1
32,ARBCSRD00010069.tif,6157.72,6374.6,-111.87859,32.82861,383.24,2,2,1
32,ARBCSRD00010070.tif,2413.33,6394.41,-111.87859,32.82861,383.24,2,2,1
33,ARBCSRD00010070.tif,5993.04,4048.46,-111.89486,32.80759,384.97,2,2,1
33,ARBCSRD00010071.tif,2287.11,4062.06,-111.89486,32.80759,384.97,2,2,1
34,ARBCSRD00010071.tif,7102.6,5704.5,-111.88344,32.77952,399.43,2,2,1
34,ARBCSRD00010072.tif,3324.75,5500.27,-111.88344,32.77952,399.43,2,2,1
35,ARBCSRD00010071.tif,6292.35,4192.35,-111.89387,32.78414,389.03,2,2,1
35,ARBCSRD00010072.tif,2526.26,3988.65,-111.89387,32.78414,389.03,2,2,1
36,ARBCSRD00010072.tif,8596.02,5428.49,-111.88378,32.74881,395.71,2,2,1
36,ARBCSRD00010073.tif,4881.87,5536.14,-111.88378,32.74881,395.71,2,2,1
37,ARBCSRD00010072.tif,9010.63,1566.79,-111.91048,32.74636,395.08,2,2,1
37,ARBCSRD00010073.tif,5394.04,1687.52,-111.91048,32.74636,395.08,2,2,1
38,ARBCSRD00010073.tif,5863.81,6044.41,-111.88046,32.74303,395.93,2,2,1
38,ARBCSRD00010074.tif,2179.5,6070.57,-111.88046,32.74303,395.93,2,2,1
